storeId,name,description,isActive
68f9f9a4ec280ec966a51aba,Electronics,Electronic devices and accessories,true
68f9f9a4ec280ec966a51aba,Food & Beverages,Food items and drinks,true
68f9f9a4ec280ec966a51aba,Clothing,Apparel and fashion items,true
68f9f9a4ec280ec966a51aba,Home & Kitchen,Home improvement and kitchen items,true
68f9f9a4ec280ec966a51aba,Health & Beauty,Health and beauty products,true
68f9f9a4ec280ec966a51aba,Books & Media,Books magazines and media,true
68f9f9a4ec280ec966a51aba,Sports & Outdoors,Sports equipment and outdoor gear,true
68f9f9a4ec280ec966a51aba,Toys & Games,Toys and games for all ages,true
68f9f9a4ec280ec966a51aba,Automotive,Car accessories and parts,true
68f9f9a4ec280ec966a51aba,Office Supplies,Office and stationery items,true

