storeId,name,sku,barcode,categoryId,price,cost,taxRate,stockQuantity,lowStockThreshold,unit,isActive
68f9f9a4ec280ec966a51aba,Wireless Mouse,ELEC-MOUSE-001,1234567890123,REPLACE_WITH_ELECTRONICS_ID,29.99,15.00,15,50,10,pcs,true
68f9f9a4ec280ec966a51aba,USB Keyboard,ELEC-KEY-001,1234567890124,REPLACE_WITH_ELECTRONICS_ID,45.99,22.00,15,30,10,pcs,true
68f9f9a4ec280ec966a51aba,HDMI Cable 2m,ELEC-CAB-001,1234567890125,REPLACE_WITH_ELECTRONICS_ID,12.99,5.00,15,100,20,pcs,true
68f9f9a4ec280ec966a51aba,USB Flash Drive 32GB,ELEC-USB-001,1234567890126,REPLACE_WITH_ELECTRONICS_ID,19.99,8.00,15,75,15,pcs,true
68f9f9a4ec280ec966a51aba,Wireless Headphones,ELEC-AUD-001,1234567890127,REPLACE_WITH_ELECTRONICS_ID,79.99,40.00,15,25,5,pcs,true
68f9f9a4ec280ec966a51aba,Coca Cola 500ml,FOOD-BEV-001,1234567890128,REPLACE_WITH_FOOD_BEVERAGES_ID,2.50,1.20,15,200,50,pcs,true
68f9f9a4ec280ec966a51aba,Mineral Water 500ml,FOOD-BEV-002,1234567890129,REPLACE_WITH_FOOD_BEVERAGES_ID,1.50,0.60,15,300,100,pcs,true
68f9f9a4ec280ec966a51aba,Chocolate Bar,FOOD-SNK-001,1234567890130,REPLACE_WITH_FOOD_BEVERAGES_ID,3.99,1.50,15,150,30,pcs,true
68f9f9a4ec280ec966a51aba,Chips Pack 150g,FOOD-SNK-002,1234567890131,REPLACE_WITH_FOOD_BEVERAGES_ID,4.50,1.80,15,120,25,pcs,true
68f9f9a4ec280ec966a51aba,Coffee Beans 500g,FOOD-BEV-003,1234567890132,REPLACE_WITH_FOOD_BEVERAGES_ID,24.99,12.00,15,40,10,kg,true
68f9f9a4ec280ec966a51aba,Cotton T-Shirt,CLO-TSH-001,1234567890133,REPLACE_WITH_CLOTHING_ID,19.99,8.00,15,60,15,pcs,true
68f9f9a4ec280ec966a51aba,Jeans Blue,CLO-JNS-001,1234567890134,REPLACE_WITH_CLOTHING_ID,49.99,20.00,15,40,10,pcs,true
68f9f9a4ec280ec966a51aba,Running Shoes,CLO-SHO-001,1234567890135,REPLACE_WITH_CLOTHING_ID,89.99,35.00,15,30,8,pcs,true
68f9f9a4ec280ec966a51aba,Kitchen Knife Set,HOM-KIT-001,1234567890136,REPLACE_WITH_HOME_KITCHEN_ID,39.99,15.00,15,20,5,set,true
68f9f9a4ec280ec966a51aba,Dinner Plates Set 6pc,HOM-KIT-002,1234567890137,REPLACE_WITH_HOME_KITCHEN_ID,29.99,12.00,15,35,10,set,true
68f9f9a4ec280ec966a51aba,Shampoo 400ml,BEA-CAR-001,1234567890138,REPLACE_WITH_HEALTH_BEAUTY_ID,12.99,5.00,15,80,20,pcs,true
68f9f9a4ec280ec966a51aba,Toothpaste 100g,BEA-CAR-002,1234567890139,REPLACE_WITH_HEALTH_BEAUTY_ID,4.99,1.80,15,150,30,pcs,true
68f9f9a4ec280ec966a51aba,Notebook A4,OFF-STN-001,1234567890140,REPLACE_WITH_OFFICE_SUPPLIES_ID,5.99,2.00,15,200,50,pcs,true
68f9f9a4ec280ec966a51aba,Ballpoint Pen Pack 10,OFF-STN-002,1234567890141,REPLACE_WITH_OFFICE_SUPPLIES_ID,8.99,3.00,15,100,25,pack,true
68f9f9a4ec280ec966a51aba,Stapler,OFF-STN-003,1234567890142,REPLACE_WITH_OFFICE_SUPPLIES_ID,12.99,5.00,15,45,10,pcs,true

